Cliente,Database,Totale Fatture,Data Attivazione,Data rilevazione
AGL,agl,1000,01/08/2019,04/08/2020
Alphaservice,alphaservice,4000,01/01/2021,13/05/2023
Came,cameprinting,1000,01/01/2020,04/08/2020
CopyService,copyservice,12000,01/01/2019,07/08/2024
Forpress,forpress,9000,01/01/2020,30/09/2023
Futuro,futuro,2000,01/01/2021,01/12/2021
Gallo Arti Grafiche,galloartigrafiche,6000,01/03/2023,12/12/2024
Green Hub,greenhub,1,01/01/2019,10/12/2019
Impronta Digitale,improntadigitale,9000,01/01/2019,30/06/2024
Leonardo,leonardo,6100,01/05/2019,23/02/2021
Locopress,locopress,100,01/01/2021,05/02/2021
Nuova Carrozzeria Lux,carrozzerialux,1,01/01/2019,10/12/2019
Oplaprint,oplaprint,1000,01/01/2020,14/06/2022
Pointec,pointec,4000,01/01/2019,22/06/2020
PrintIdeas,printideas,3000,01/01/2020,14/06/2022
Servizi Grafici,servizigrafici,8000,01/01/2019,31/05/2024
SHS-AV srl,shs-av,1000,01/01/2019,31/07/2024
Tipitalia,tipitalia,1200,01/01/2020,05/02/2021
Vampigroup,vampigroup,5600,01/01/2020,30/09/2023
Zavixtech,zavixtech,12000,01/03/2019,09/09/2024
